Wall time,Step,Value
1750693637.350462,113,0.895619809627533
1750693678.3828542,181,1.0130780935287476
1750693715.4107788,245,1.0419187545776367
1750693898.3524945,562,1.131528377532959
1750694196.2099223,1075,0.953054666519165
1750694208.2425036,1096,1.1130602359771729
1750694382.4301517,1393,1.074925184249878
1750694647.5204756,1850,1.2758798599243164
1750694673.0057487,1895,1.029355764389038
1750694887.6358135,2262,1.108001708984375
1750694984.54192,2427,0.983717679977417
1750695005.9934773,2464,1.2027032375335693
1750695046.2611094,2532,0.8524523377418518
1750695073.4463944,2579,0.9300094246864319
1750695325.0869052,3010,1.0782670974731445
1750695335.3754644,3028,0.9604328274726868
1750695345.170635,3045,0.9462165832519531
1750695433.3432102,3196,1.0240278244018555
1750695571.799068,3434,0.8491082787513733
1750695717.5745275,3684,1.0288281440734863
1750695798.0800855,3819,0.978790283203125
1750695802.0865145,3826,1.0199778079986572
1750695993.935548,4155,0.7824031114578247
1750696012.1054037,4186,1.1877620220184326
1750696617.1511736,5218,1.0247050523757935
1750696646.156217,5269,1.0170388221740723
1750696654.7614946,5284,0.9631522297859192
1750696698.0985243,5359,1.0504841804504395
1750696772.3082497,5487,0.8835101127624512
1750696848.5994658,5619,1.1241905689239502
1750696896.3276193,5702,1.1875014305114746
1750697206.1160088,6239,0.9639787673950195
1750697278.7937126,6365,0.9868038892745972
1750697363.32848,6511,0.8356215953826904
1750697468.9980028,6693,0.8549106121063232
1750697544.674391,6823,0.9693903923034668
1750697547.577142,6828,1.04151451587677
1750697656.2502131,7018,0.8599402904510498
1750697720.8908336,7130,0.8172718286514282
1750697747.6444786,7176,0.8684624433517456
1750697892.7778237,7426,1.1019234657287598
1750697896.2264154,7432,0.8937909603118896
1750698022.5185983,7652,0.8675656318664551
1750698092.638607,7774,0.8464399576187134
1750698210.942837,7979,0.9698167443275452
1750698474.597601,8435,0.9756224155426025
1750698521.8139162,8518,0.9765602350234985
1750698522.3740413,8519,0.9952123165130615
1750698533.5375633,8538,0.9367890954017639
1750698728.4727912,8877,0.8676512241363525
1750698739.8507802,8897,0.9135568141937256
1750698842.6148114,9075,0.8693753480911255
1750698873.3010705,9129,1.0980275869369507
1750698956.1560822,9272,0.9184386134147644
1750699008.9682372,9364,0.8741808533668518
1750699011.7697437,9369,1.0271800756454468
1750699282.2889376,9840,1.009836196899414
1750699417.3906603,10074,1.0598764419555664
1750699465.8276136,10158,0.9966726303100586
1750699468.1493087,10162,0.7795498371124268
1750699495.9467573,10210,0.9229964017868042
1750699647.067515,10467,0.9738544821739197
1750699675.651826,10516,0.8430109620094299
1750699952.333299,10991,0.9888412952423096
1750700009.8681211,11089,0.785422682762146
1750700026.2628183,11117,0.9180241227149963
1750700122.6989906,11282,0.7626755833625793
1750700124.368447,11285,0.9783787727355957
1750700166.6203642,11359,0.8248021602630615
1750700171.8127837,11368,1.0524585247039795
1750700272.6068525,11540,0.9425427317619324
1750700419.76471,11793,0.8007842898368835
1750700629.3248787,12149,1.068261981010437
1750700659.6074486,12202,1.068686604499817
1750700693.8317726,12260,0.9203082323074341
1750701211.5547166,13143,1.0032315254211426
1750701220.1918,13158,0.9150437116622925
1750701272.6332455,13248,0.8822811841964722
1750701896.9370222,14322,0.8069134950637817
1750701944.0934162,14404,0.7875721454620361
1750702533.0868225,15416,0.8594568967819214
1750702742.7344568,15772,0.9643340110778809
1750702783.536292,15841,0.9880035519599915
1750702795.710184,15862,0.8066513538360596
1750702796.270652,15863,0.7989799976348877
1750703020.1922655,16247,0.7522648572921753
1750703032.0539293,16267,0.8242337703704834
1750703060.775828,16318,0.8695414066314697
1750703116.41006,16415,0.7138725519180298
